,membership_category,avg_transaction_value,points_in_wallet,feedback,churn_risk_score
505,Basic Membership,24694.27,1244.527061502472,No reason specified,1
506,Gold Membership,85658.92,791.6,Quality Customer Care,0
507,Basic Membership,18296.83,615.59,Poor Website,1
508,Gold Membership,25109.07,0.0,Poor Product Quality,0
509,Basic Membership,11082.88,623.07,Poor Website,1
510,Platinum Membership,27202.38,761.87,Reasonable Price,0
511,Gold Membership,20128.7,722.96,Reasonable Price,0
512,Platinum Membership,15114.77,352.9246106858763,User Friendly Website,0
513,Silver Membership,16706.85,644.69,Poor Product Quality,1
514,Gold Membership,11458.45,754.41,No reason specified,0
515,No Membership,3740.88,215.7703868141784,Poor Website,1
516,No Membership,26313.61,564.15,No reason specified,1
517,No Membership,11104.68,0.0,Too many ads,1
518,Basic Membership,31592.61,557.86,No reason specified,1
519,Gold Membership,1554.39,1129.5473388449152,Quality Customer Care,0
520,Basic Membership,26540.59,655.61,Poor Website,1
521,Platinum Membership,1879.13,0.0,Too many ads,0
522,No Membership,27290.74,685.47,Poor Product Quality,1
523,Gold Membership,17849.14,788.42,No reason specified,0
524,Platinum Membership,99662.86,837.36,Products always in Stock,0
525,No Membership,19528.18,594.82,Poor Website,1
526,Silver Membership,27181.04,651.38,Poor Product Quality,1
527,Gold Membership,14480.65,776.5,Too many ads,0
528,No Membership,37896.98,558.75,Too many ads,1
529,Premium Membership,46526.08,711.65,Reasonable Price,0
530,Platinum Membership,91375.32,795.89,User Friendly Website,0
531,Basic Membership,10920.67,552.57,Poor Website,1
532,No Membership,16332.02,621.28,Poor Customer Service,1
533,No Membership,38484.67,528.09,Poor Customer Service,1
534,Premium Membership,32638.09,793.09,Too many ads,0
535,Gold Membership,46670.45,792.55,Poor Product Quality,0
536,Premium Membership,27309.87,0.0,Quality Customer Care,0
537,Silver Membership,9060.14,700.11,Poor Website,1
538,Gold Membership,34416.48,1309.1500296178085,Poor Website,0
539,Gold Membership,5738.25,764.77,Poor Product Quality,0
540,Platinum Membership,23371.21,1067.5770866929995,Poor Product Quality,0
541,Platinum Membership,22333.25,727.09,Too many ads,0
542,Basic Membership,35432.75,611.77,Poor Customer Service,1
543,Basic Membership,20946.04,707.78,No reason specified,1
544,Silver Membership,19022.56,623.41,Poor Customer Service,1
545,Silver Membership,19917.7,712.63,Poor Product Quality,1
546,Premium Membership,44291.84,780.12,Reasonable Price,0
547,Basic Membership,43763.06,500.26,Poor Website,1
548,Premium Membership,21526.78,0.0,Products always in Stock,0
549,No Membership,1734.19,667.59,Poor Product Quality,1
550,No Membership,14377.26,0.0,Poor Website,1
551,Silver Membership,25705.07,891.7651722417364,Too many ads,0
552,Platinum Membership,80397.94,806.22,Products always in Stock,0
553,Silver Membership,22821.98,713.82,No reason specified,1
554,Premium Membership,6071.12,754.22,No reason specified,0
555,Silver Membership,5381.95,635.17,Poor Product Quality,1
556,No Membership,25371.91,950.7949817003567,Too many ads,1
557,Platinum Membership,66917.63,1304.8898480726562,User Friendly Website,0
558,No Membership,43835.41,554.84,Poor Website,1
559,Basic Membership,43823.48,576.32,Poor Website,1
560,Silver Membership,2256.99,1074.710594420994,Poor Product Quality,0
561,Silver Membership,10414.63,649.04,No reason specified,1
562,Gold Membership,44411.68,314.0623579302006,Poor Website,0
563,Platinum Membership,33063.21,759.96,Products always in Stock,0
564,No Membership,28082.24,655.43,No reason specified,1
565,Basic Membership,32059.14,590.15,Poor Product Quality,1
566,Basic Membership,16907.81,537.81,Too many ads,1
567,Gold Membership,11639.87,629.06,Too many ads,1
568,Silver Membership,23479.84,904.3954721005356,No reason specified,1
569,Gold Membership,28077.12,0.0,Poor Customer Service,1
570,No Membership,47931.99,503.11,Poor Website,1
571,Basic Membership,13578.47,1008.5510693733356,Poor Customer Service,1
572,Silver Membership,30746.45,620.66,Poor Website,1
573,Gold Membership,37718.25,735.96,Poor Customer Service,0
574,No Membership,1061.61,696.33,Too many ads,1
575,No Membership,16401.06,651.69,No reason specified,1
576,Silver Membership,1828.06,755.14,Poor Website,0
577,Platinum Membership,38776.28,742.98,Poor Customer Service,0
578,No Membership,35696.34,631.93,Poor Product Quality,1
579,Basic Membership,9827.29,0.0,Poor Website,1
580,Basic Membership,20996.88,623.7,Poor Website,1
581,Premium Membership,11147.63,814.09,Reasonable Price,0
582,No Membership,17351.66,0.0,No reason specified,1
583,No Membership,8408.19,558.24,Too many ads,1
584,Basic Membership,13197.53,718.59,No reason specified,1
585,Basic Membership,4496.67,304.51271086340216,Poor Website,1
586,Premium Membership,93902.8,0.0,Reasonable Price,0
587,Premium Membership,31672.95,784.98,Poor Website,0
588,Gold Membership,29700.99,714.82,Poor Customer Service,0
589,No Membership,23273.02,0.0,Poor Website,1
590,Gold Membership,56654.09,839.81,Reasonable Price,0
591,No Membership,44542.56,621.66,Poor Customer Service,1
592,Premium Membership,6574.28,752.03,Quality Customer Care,0
593,Basic Membership,5926.99,982.9010024729616,Poor Customer Service,1
594,Basic Membership,25404.65,645.86,Poor Website,1
595,Gold Membership,13037.43,656.81,Poor Website,1
596,Premium Membership,48161.36,784.55,User Friendly Website,0
597,Silver Membership,48304.9,754.92,No reason specified,0
598,No Membership,36990.17,513.76,No reason specified,1
599,Premium Membership,30500.99,951.3728197433496,Too many ads,0
600,No Membership,40122.23,717.31,Poor Website,1
601,Premium Membership,22011.68,469.776272446461,Poor Product Quality,0
602,Basic Membership,14173.32,550.67,Poor Product Quality,1
603,Silver Membership,20077.72,384.23463185164536,Poor Customer Service,0
604,Platinum Membership,83531.91,826.87,Reasonable Price,0
605,No Membership,2959.53,1025.2522067217392,Poor Customer Service,1
606,Platinum Membership,34048.25,792.28,No reason specified,0
607,Premium Membership,49713.38,815.29,Quality Customer Care,0
608,Platinum Membership,4834.48,794.1,Poor Customer Service,0
609,Silver Membership,25480.38,666.61,Poor Product Quality,1
610,Basic Membership,38308.29,540.33,No reason specified,1
611,No Membership,9907.37,517.02,Too many ads,1
612,No Membership,17294.55,891.6150189257485,Poor Customer Service,0
613,Basic Membership,48193.4,674.11,No reason specified,1
614,Basic Membership,20425.15,666.32,Poor Product Quality,1
615,Basic Membership,14831.98,682.34,Poor Customer Service,1
616,Premium Membership,31084.89,1190.3091676319991,Reasonable Price,0
617,Basic Membership,15572.65,710.27,Too many ads,1
618,Gold Membership,77091.97,756.7,Reasonable Price,0
619,Gold Membership,14475.34,793.06,Poor Product Quality,0
620,No Membership,29385.18,0.0,Too many ads,1
621,Platinum Membership,27802.41,766.63,Poor Customer Service,0
622,Silver Membership,5111.09,1232.150051695331,No reason specified,1
623,Gold Membership,40480.86,776.66,Poor Customer Service,0
624,Gold Membership,2821.42,0.0,No reason specified,0
625,Basic Membership,15703.63,714.6,No reason specified,1
626,Premium Membership,29031.91,707.42,No reason specified,0
627,No Membership,7806.07,619.53,Poor Product Quality,1
628,Platinum Membership,17873.05,835.83,User Friendly Website,0
629,No Membership,15827.37,679.56,Poor Customer Service,1
630,Premium Membership,93139.75,765.22,Products always in Stock,0
631,Gold Membership,35160.57,1090.557463150811,Poor Product Quality,0
632,No Membership,21016.76,0.0,Too many ads,1
633,Basic Membership,18616.69,716.56,Poor Website,1
634,Platinum Membership,60418.57,759.63,Products always in Stock,0
635,Basic Membership,1792.63,584.9,Poor Customer Service,1
636,Basic Membership,26853.25,660.46,Poor Product Quality,1
637,Basic Membership,43612.01,660.72,Too many ads,1
638,Basic Membership,1781.46,656.57,No reason specified,1
639,Basic Membership,47511.49,559.8,Poor Customer Service,1
640,Basic Membership,12644.22,713.33,Poor Product Quality,1
641,Platinum Membership,98492.36,806.78,Products always in Stock,0
642,Silver Membership,47271.16,745.4,Poor Website,0
643,Silver Membership,36997.03,760.23,Poor Product Quality,0
644,Gold Membership,28095.17,638.7,Poor Website,1
645,Platinum Membership,92636.6,0.0,Quality Customer Care,0
646,No Membership,26931.73,604.74,Poor Customer Service,1
647,Silver Membership,21029.31,742.27,Too many ads,0
648,Silver Membership,39342.86,629.49,Too many ads,1
649,Platinum Membership,48531.26,509.4846022652469,Quality Customer Care,0
650,No Membership,32342.28,663.1,No reason specified,1
651,Basic Membership,10147.18,934.622759721446,Poor Customer Service,1
652,Silver Membership,37311.05,615.98,Poor Product Quality,0
653,Gold Membership,17395.83,641.18,Poor Customer Service,1
654,Silver Membership,94512.75,762.24,Reasonable Price,0
655,Basic Membership,25491.85,604.42,Poor Website,1
656,Basic Membership,17292.06,619.8,Too many ads,1
657,Basic Membership,43598.33,0.0,No reason specified,1
658,Basic Membership,18274.99,248.3162187678069,No reason specified,1
659,Basic Membership,39848.97,568.32,No reason specified,1
660,Basic Membership,2974.23,683.52,No reason specified,1
661,Platinum Membership,9438.79,751.57,Too many ads,0
662,Premium Membership,25453.07,363.9107049770941,Too many ads,0
663,Basic Membership,19233.38,585.52,Poor Website,1
664,Basic Membership,5521.59,698.03,Poor Product Quality,1
665,Basic Membership,18290.12,617.83,Too many ads,1
666,Gold Membership,17279.81,1278.689899804728,Reasonable Price,0
667,Basic Membership,12787.46,0.0,Too many ads,1
668,Premium Membership,14931.76,468.3315375978999,Poor Product Quality,0
669,Premium Membership,7284.99,0.0,Too many ads,0
670,Premium Membership,76385.63,716.03,User Friendly Website,0
671,Silver Membership,22206.96,760.84,No reason specified,0
672,Platinum Membership,24564.87,767.46,Poor Product Quality,0
673,Platinum Membership,21388.22,0.0,User Friendly Website,0
674,Platinum Membership,37308.19,780.12,Poor Product Quality,0
675,Silver Membership,28934.64,656.1,Too many ads,1
676,No Membership,35259.89,612.38,Too many ads,1
677,Basic Membership,37739.11,590.81,No reason specified,1
678,Premium Membership,42564.24,791.84,Reasonable Price,0
679,No Membership,7041.3,1167.3429686539544,No reason specified,1
680,Basic Membership,1409.83,710.65,No reason specified,1
681,No Membership,21150.23,629.8,No reason specified,1
682,Basic Membership,33257.81,651.33,Poor Website,1
683,Premium Membership,32061.54,728.46,Quality Customer Care,0
684,Silver Membership,28386.98,365.696233150502,No reason specified,0
685,Basic Membership,16799.18,670.57,Too many ads,1
686,Premium Membership,45079.93,736.1844237135318,No reason specified,0
687,Silver Membership,10111.96,688.31,Poor Product Quality,1
688,No Membership,31894.29,672.97,Poor Website,1
689,Basic Membership,30291.03,682.71,Poor Website,1
690,Premium Membership,56474.83,1298.4865895801254,Quality Customer Care,0
691,Platinum Membership,4520.41,714.24,Poor Website,0
692,Basic Membership,29004.99,623.47,Poor Website,0
693,Basic Membership,39343.29,0.0,Poor Product Quality,1
694,Basic Membership,11900.98,600.93,Poor Customer Service,1
695,No Membership,41226.96,694.58,Poor Customer Service,1
696,Silver Membership,34359.0,774.62,Poor Website,0
697,No Membership,38978.55,675.08,No reason specified,1
698,Gold Membership,42023.37,797.12,No reason specified,0
699,No Membership,10849.61,504.01,Poor Product Quality,1
700,No Membership,2056.41,286.115640948042,Poor Website,1
701,No Membership,32919.04,607.73,Too many ads,1
702,Silver Membership,15732.8,709.66,No reason specified,0
703,Platinum Membership,28003.79,796.9,Reasonable Price,0
704,No Membership,27550.08,0.0,Poor Website,1
705,Platinum Membership,31309.05,833.44,Products always in Stock,0
706,Silver Membership,14370.55,765.2,No reason specified,0
707,Platinum Membership,26524.31,734.09,No reason specified,0
708,Premium Membership,17071.3,813.41,User Friendly Website,0
709,Gold Membership,2285.01,775.51,No reason specified,0
710,No Membership,19129.04,528.91,No reason specified,1
711,Gold Membership,2980.79,716.99,No reason specified,0
712,Gold Membership,36997.12,766.36,Too many ads,0
713,No Membership,43632.02,594.51,Poor Website,1
714,Silver Membership,25780.13,625.99,Poor Customer Service,1
715,Basic Membership,42972.05,970.6323045183648,Poor Customer Service,0
716,Basic Membership,30462.44,523.56,Poor Website,1
717,No Membership,38984.21,137.96461776350978,Poor Website,0
718,No Membership,17784.29,546.44,Poor Customer Service,1
719,Basic Membership,10615.92,0.0,Poor Customer Service,1
720,Basic Membership,21551.03,0.0,Poor Website,1
721,Silver Membership,29427.79,748.89,Too many ads,0
722,Premium Membership,8257.89,779.45,Poor Product Quality,0
723,Basic Membership,38419.51,0.0,Too many ads,1
724,Basic Membership,46129.06,319.4800929352139,Poor Product Quality,1
725,Gold Membership,12054.14,844.59,Reasonable Price,0
726,Gold Membership,24747.5,701.8,Poor Website,0
727,Silver Membership,2814.63,755.38,Too many ads,0
728,Silver Membership,21440.09,749.31,Products always in Stock,0
729,Gold Membership,13654.05,607.32,No reason specified,0
730,No Membership,34255.99,668.22,Poor Website,1
731,Basic Membership,7351.64,613.81,No reason specified,1
732,No Membership,26149.57,530.35,Too many ads,1
733,No Membership,49023.04,690.14,Poor Product Quality,1
734,Premium Membership,25134.26,763.66,Poor Customer Service,0
735,Basic Membership,10237.57,525.76,Poor Product Quality,1
736,Gold Membership,9674.53,722.46,Too many ads,0
737,Silver Membership,29381.18,717.12,No reason specified,0
738,Premium Membership,34067.56,710.39,No reason specified,0
739,No Membership,7976.61,711.75,Poor Customer Service,1
740,Gold Membership,5050.34,713.85,No reason specified,0
741,Gold Membership,20750.33,1179.358853097995,Poor Product Quality,1
742,Premium Membership,9681.92,1131.4707006595866,Too many ads,0
743,Platinum Membership,10443.46,730.98,Poor Customer Service,0
744,Silver Membership,39323.16,662.46,Poor Product Quality,1
745,No Membership,10524.82,672.58,Poor Website,0
746,No Membership,45050.52,211.3929575709336,No reason specified,1
747,Silver Membership,88217.86,707.14,Quality Customer Care,0
748,Platinum Membership,46211.68,737.63,No reason specified,0
749,Basic Membership,21376.4,367.5295595084508,Poor Customer Service,1
750,No Membership,14304.3,625.28,No reason specified,1
751,No Membership,42507.64,513.28,Poor Product Quality,1
752,No Membership,24860.77,617.56,Poor Customer Service,1
753,Premium Membership,30110.35,795.1,Poor Customer Service,0
754,Silver Membership,48182.89,700.0766470606627,Poor Website,1
755,Basic Membership,42642.47,314.6534386254092,Poor Product Quality,1
756,Platinum Membership,38796.81,727.88,No reason specified,0
757,Gold Membership,12823.62,757.2,Too many ads,0
758,Basic Membership,25142.95,711.97,Poor Product Quality,1
759,Basic Membership,25679.6,1021.4180794514232,Too many ads,1
760,Silver Membership,22647.81,494.9263184953068,Poor Customer Service,0
761,No Membership,44044.87,653.5,Poor Product Quality,1
762,Gold Membership,3561.51,660.89,No reason specified,1
763,Silver Membership,31287.24,779.67,Quality Customer Care,0
764,Silver Membership,31107.75,634.96,Poor Product Quality,1
765,Gold Membership,37438.06,737.42,Poor Website,0
766,Basic Membership,23028.15,513.3,Poor Product Quality,1
767,Premium Membership,36610.79,768.28,No reason specified,0
768,Platinum Membership,8139.92,821.83,Reasonable Price,0
769,Silver Membership,91741.75,755.24,User Friendly Website,0
770,Basic Membership,10180.96,0.0,Too many ads,1
771,Platinum Membership,9780.64,778.74,Products always in Stock,0
